Expert,Country,Key,lower,upper,difference,mean,pointMean,scientist_name,sex
102,U.S.,Current Warming,2,3,1,2.5,2.5,Social Scientist is not Climate Communcator,F
102,U.S.,Least Warming,2,3,1,2.5,2.5,Social Scientist is not Climate Communcator,F
102,U.S.,Most Warming,1.5,2,0.5,1.75,1.75,Social Scientist is not Climate Communcator,F
102,U.S.,Likeliest Warming,1.5,2,0.5,1.75,1.75,Social Scientist is not Climate Communcator,F
103,U.S.,Current Warming,0,1.5,1.5,1.25,1.25,Social Scientist is not Climate Communcator,F
103,U.S.,Least Warming,2,3,1,2.5,2.5,Social Scientist is not Climate Communcator,F
103,U.S.,Most Warming,3,4,1,3.5,3.5,Social Scientist is not Climate Communcator,F
103,U.S.,Likeliest Warming,2,3,1,2.5,2.5,Social Scientist is not Climate Communcator,F
105,U.S.,Most Warming,0,1.5,1.5,1.25,1.25,Natural Scientist is not Climate Communicator,M
105,U.S.,Current Warming,0,1.5,1.5,1.25,1.25,Natural Scientist is not Climate Communicator,M
105,U.S.,Least Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is not Climate Communicator,M
105,U.S.,Likeliest Warming,0,1.5,1.5,1.25,1.25,Natural Scientist is not Climate Communicator,M
106,U.S.,Current Warming,NA,NA,NA,NA,1.1,Social Scientist is not Climate Communcator,M
106,U.S.,Least Warming,1.5,2,0.5,1.75,1.75,Social Scientist is not Climate Communcator,M
106,U.S.,Most Warming,2,3,1,2.5,2.5,Social Scientist is not Climate Communcator,M
106,U.S.,Likeliest Warming,1.5,2,0.5,1.75,1.75,Social Scientist is not Climate Communcator,M
107,U.S.,Current Warming,1.1,1.2,0.1,1.15,1.15,Natural Scientist is not Climate Communicator,M
107,U.S.,Least Warming,NA,NA,NA,NA,1.5,Natural Scientist is not Climate Communicator,M
107,U.S.,Most Warming,2,3,1,2.5,2.5,Natural Scientist is not Climate Communicator,M
107,U.S.,Likeliest Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is not Climate Communicator,M
108,U.S.,Likeliest Warming,NA,NA,NA,NA,3,Natural Scientist is not Climate Communicator,F
108,U.S.,Current Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is not Climate Communicator,F
108,U.S.,Least Warming,2,3,1,2.5,2.5,Natural Scientist is not Climate Communicator,F
108,U.S.,Most Warming,3,4,1,3.5,3.5,Natural Scientist is not Climate Communicator,F
111,U.S.,Current Warming,0,1.5,1.5,1.25,1.25,Social Scientist is not Climate Communcator,M
111,U.S.,Least Warming,1.5,2,0.5,1.75,1.75,Social Scientist is not Climate Communcator,M
111,U.S.,Most Warming,2,3,1,2.5,2.5,Social Scientist is not Climate Communcator,M
111,U.S.,Likeliest Warming,1.5,2,0.5,1.75,1.75,Social Scientist is not Climate Communcator,M
114,U.S.,Current Warming,1,2,1,1.5,1.5,Social Scientist is not Climate Communcator,M
114,U.S.,Least Warming,NA,NA,NA,NA,1.5,Social Scientist is not Climate Communcator,M
114,U.S.,Most Warming,NA,NA,NA,NA,2,Social Scientist is not Climate Communcator,M
114,U.S.,Likeliest Warming,1.5,2,0.5,1.75,1.75,Social Scientist is not Climate Communcator,M
121,U.S.,Current Warming,0,1.5,1.5,1.25,1.25,Natural Scientist is not Climate Communicator,M
121,U.S.,Least Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is not Climate Communicator,M
121,U.S.,Most Warming,2,3,1,2.5,2.5,Natural Scientist is not Climate Communicator,M
121,U.S.,Likeliest Warming,2,3,1,2.5,2.5,Natural Scientist is not Climate Communicator,M
123,U.S.,Current Warming,1.2,1.3,0.1,1.25,1.25,Social Scientist is Climate Communcator,M
123,U.S.,Least Warming,1.5,2,0.5,1.75,1.75,Social Scientist is Climate Communcator,M
123,U.S.,Most Warming,1.5,2,0.5,1.75,1.75,Social Scientist is Climate Communcator,M
123,U.S.,Likeliest Warming,2,2.5,0.5,2.25,2.25,Social Scientist is Climate Communcator,M
127,U.S.,Current Warming,0,1.5,1.5,1.25,1.25,Natural Scientist is Climate Communicator,F
127,U.S.,Current Warming,0,1.5,1.5,1.25,1.25,Social Scientist is Climate Communcator,F
127,U.S.,Least Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is Climate Communicator,F
127,U.S.,Least Warming,1.5,2,0.5,1.75,1.75,Social Scientist is Climate Communcator,F
127,U.S.,Most Warming,2,3,1,2.5,2.5,Natural Scientist is Climate Communicator,F
127,U.S.,Most Warming,2,3,1,2.5,2.5,Social Scientist is Climate Communcator,F
127,U.S.,Likeliest Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is Climate Communicator,F
127,U.S.,Likeliest Warming,1.5,2,0.5,1.75,1.75,Social Scientist is Climate Communcator,F
130,U.S.,Current Warming,NA,NA,NA,NA,1.1,Natural Scientist is not Climate Communicator,M
130,U.S.,Least Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is not Climate Communicator,M
130,U.S.,Most Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is not Climate Communicator,M
130,U.S.,Likeliest Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is not Climate Communicator,M
131,U.S.,Current Warming,0,1.5,1.5,1.25,1.25,Natural Scientist is not Climate Communicator,M
131,U.S.,Least Warming,0,1.5,1.5,1.25,1.25,Natural Scientist is not Climate Communicator,M
131,U.S.,Most Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is not Climate Communicator,M
131,U.S.,Likeliest Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is not Climate Communicator,M
132,U.S.,Current Warming,NA,NA,NA,NA,1.2,Natural Scientist is not Climate Communicator,M
132,U.S.,Least Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is not Climate Communicator,M
132,U.S.,Most Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is not Climate Communicator,M
132,U.S.,Likeliest Warming,1.5,1.7,0.2,1.6,1.6,Natural Scientist is not Climate Communicator,M
133,U.S.,Current Warming,0,1.5,1.5,1.25,1.25,Social Scientist is not Climate Communcator,F
133,U.S.,Least Warming,0,1.5,1.5,1.25,1.25,Social Scientist is not Climate Communcator,F
133,U.S.,Most Warming,2,3,1,2.5,2.5,Social Scientist is not Climate Communcator,F
133,U.S.,Likeliest Warming,1.5,2,0.5,1.75,1.75,Social Scientist is not Climate Communcator,F
134,U.S.,Current Warming,1.5,2,0.5,1.75,1.75,Social Scientist is not Climate Communcator,F
134,U.S.,Least Warming,2,3,1,2.5,2.5,Social Scientist is not Climate Communcator,F
134,U.S.,Most Warming,NA,NA,NA,NA,4,Social Scientist is not Climate Communcator,F
134,U.S.,Likeliest Warming,2,3,1,2.5,2.5,Social Scientist is not Climate Communcator,F
135,U.S.,Current Warming,NA,NA,NA,NA,1.2,Social Scientist is Climate Communcator,F
135,U.S.,Least Warming,NA,NA,NA,NA,1.5,Social Scientist is Climate Communcator,F
135,U.S.,Most Warming,2,3,1,2.5,2.5,Social Scientist is Climate Communcator,F
135,U.S.,Likeliest Warming,NA,NA,NA,NA,2,Social Scientist is Climate Communcator,F
136,U.S.,Current Warming,NA,NA,NA,NA,1.5,Social Scientist is not Climate Communcator,M
136,U.S.,Least Warming,NA,NA,NA,NA,2.5,Social Scientist is not Climate Communcator,M
136,U.S.,Most Warming,4.5,5,0.5,4.75,4.75,Social Scientist is not Climate Communcator,M
136,U.S.,Likeliest Warming,3,3.5,0.5,3.25,3.25,Social Scientist is not Climate Communcator,M
137,U.S.,Current Warming,NA,NA,NA,NA,1.1,Natural Scientist is not Climate Communicator,M
137,U.S.,Least Warming,NA,NA,NA,NA,2,Natural Scientist is not Climate Communicator,M
137,U.S.,Most Warming,NA,NA,NA,NA,1.5,Natural Scientist is not Climate Communicator,M
137,U.S.,Likeliest Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is not Climate Communicator,M
146,U.S.,Current Warming,0,1.5,1.5,1.25,1.25,Natural Scientist is not Climate Communicator,F
146,U.S.,Least Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is not Climate Communicator,F
146,U.S.,Most Warming,2,3,1,2.5,2.5,Natural Scientist is not Climate Communicator,F
146,U.S.,Likeliest Warming,2,3,1,2.5,2.5,Natural Scientist is not Climate Communicator,F
149,U.S.,Current Warming,NA,NA,NA,NA,1.3,Natural Scientist is not Climate Communicator,M
149,U.S.,Least Warming,NA,NA,NA,NA,2,Natural Scientist is not Climate Communicator,M
149,U.S.,Most Warming,2,3,1,2.5,2.5,Natural Scientist is not Climate Communicator,M
149,U.S.,Likeliest Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is not Climate Communicator,M
152,U.S.,Current Warming,0,1.5,1.5,1.25,1.25,Natural Scientist is not Climate Communicator,M
152,U.S.,Least Warming,2,3,1,2.5,2.5,Natural Scientist is not Climate Communicator,M
152,U.S.,Most Warming,3,4,1,3.5,3.5,Natural Scientist is not Climate Communicator,M
152,U.S.,Likeliest Warming,2,3,1,2.5,2.5,Natural Scientist is not Climate Communicator,M
160,U.S.,Current Warming,NA,NA,NA,NA,1.1,Social Scientist is not Climate Communcator,F
160,U.S.,Least Warming,1.8,2,0.2,1.9,1.9,Social Scientist is not Climate Communcator,F
160,U.S.,Most Warming,NA,NA,NA,NA,2.5,Social Scientist is not Climate Communcator,F
160,U.S.,Likeliest Warming,1.7,2.5,0.8,2.1,2.1,Social Scientist is not Climate Communcator,F
162,U.S.,Current Warming,1.2,1.3,0.1,1.25,1.25,Social Scientist is not Climate Communcator,M
162,U.S.,Least Warming,1.5,2,0.5,1.75,1.75,Social Scientist is not Climate Communcator,M
162,U.S.,Most Warming,2,3,1,2.5,2.5,Social Scientist is not Climate Communcator,M
162,U.S.,Likeliest Warming,1.5,2,0.5,1.75,1.75,Social Scientist is not Climate Communcator,M
169,U.S.,Current Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is Climate Communicator,M
169,U.S.,Least Warming,2,4,2,3,3,Natural Scientist is Climate Communicator,M
169,U.S.,Most Warming,NA,NA,NA,NA,4,Natural Scientist is Climate Communicator,M
169,U.S.,Likeliest Warming,3,4,1,3.5,3.5,Natural Scientist is Climate Communicator,M
175,U.S.,Current Warming,1.5,2,0.5,1.75,1.75,Natural Scientist is not Climate Communicator,M
